,wikidata,coord,osmid
0,Q107098707,,
1,Q107152077,,
2,Q107152185,,
4,Q12316102,,
5,Q12330411,,
6,Q12335052,,
9,Q2933430,,
10,Q3236819,,
12,Q107085180,,
13,Q107163762,,
14,Q107122924,,
15,Q107117743,,
17,Q107117614,,
18,Q107099014,,
19,Q107092944,,
20,Q107094164,,
21,Q107076748,,
22,Q107111222,,
23,Q107074351,,
24,Q107117709,,
25,Q107074684,,
26,Q107103499,,
27,Q107122706,,
28,Q107122715,,
29,Q107122734,,
30,Q107074352,,
31,Q107077691,,
32,Q107105837,,
33,Q107076746,,
34,Q107105875,,
35,Q107103745,,
36,Q48743664,,
37,Q107105900,,
38,Q107094108,,
40,Q107125753,,
41,Q107097748,,
42,Q107098898,,
43,Q107118554,,
44,Q107122885,,
46,Q107150521,,
47,Q107150562,,
48,Q107103754,,
49,Q107122897,,
50,Q107099063,,
51,Q107105246,,
52,Q107124543,,
53,Q107118097,,
54,Q107098839,,
55,Q107118655,,
56,Q12304896,,
58,Q107111328,,
59,Q4885971,,
60,Q5018263,,
63,Q107111458,,
65,Q107108622,,
66,Q107130700,,
67,Q107092045,,
68,Q107105383,,
69,Q107108673,,
70,Q107074347,,
71,Q107153984,,
72,Q107097968,,
74,Q107077696,,
75,Q107103848,,
76,Q107108644,,
77,Q107108586,,
78,Q107099668,,
79,Q107103809,,
80,Q107110080,,
81,Q107110071,,
82,Q107085189,,
83,Q107074679,,
84,Q107074680,,
85,Q107111775,,
86,Q107111741,,
87,Q107103733,,
88,Q107150580,,
89,Q107076742,,
90,Q107076740,,
91,Q11813268,,
92,Q107100308,,
93,Q107077702,,
94,Q107077685,,
95,Q107108610,,
97,Q107122662,,
98,Q107118664,,
99,Q107108664,,
100,Q107076750,,
101,Q107147745,,
102,Q107122816,,
104,Q3393664,,
105,Q107076124,,
106,Q107076125,,
107,Q107076126,,
108,Q107118414,,
109,Q107123034,,
110,Q107125894,,
111,Q107163567,,
112,Q107110976,,
113,Q107117640,,
114,Q107108774,,
115,Q107110092,,
116,Q107103520,,
117,Q107108742,,
118,Q107108784,,
119,Q107110181,,
122,Q107098740,,
123,Q107117661,,
124,Q107117666,,
125,Q107094228,,
126,Q107097514,,
127,Q107097576,,
128,Q107151865,,
129,Q107117923,,
130,Q107076743,,
131,Q107122304,,
132,Q107074345,,
133,Q107094227,,
134,Q107077704,,
135,Q107074344,,
136,Q107111786,,
137,Q107103720,,
138,Q107103427,,
139,Q107154854,,
140,Q107094107,,
141,Q107117790,,
142,Q107094100,,
144,Q107111694,,
145,Q107111798,,
146,Q107104293,,
147,Q107166815,,
148,Q107105281,,
149,Q107085177,,
150,Q107118104,,
151,Q107111448,,
152,Q107123024,,
153,Q107074682,,
154,Q107074683,,
155,Q107076739,,
156,Q107074681,,
157,Q107097754,,
158,Q107118648,,
159,Q107098963,,
160,Q107085181,,
161,Q107118056,,
162,Q107145813,,
163,Q107103509,,
164,Q107124859,,
165,Q107076752,,
166,Q107076753,,
167,Q107146356,,
168,Q107150548,,
169,Q107122981,,
170,Q107085183,,
172,Q107103840,,
173,Q107122721,,
174,Q107085187,,
176,Q107094101,,
177,Q107110061,,
178,Q107151298,,
179,Q107094102,,
180,Q107075281,,
181,Q107098528,,
182,Q107122426,,
183,Q107122380,,
184,Q107122413,,
185,Q107122524,,
186,Q107122515,,
187,Q107100398,,
188,Q107122358,,
189,Q107122502,,
190,Q107122439,,
191,Q107122396,,
192,Q107122403,,
193,Q107122543,,
194,Q107099928,,
195,Q107140635,,
196,Q107123043,,
197,Q107123028,,
198,Q107099041,,
199,Q107085184,,
200,Q107122655,,
201,Q107125056,,
202,Q107103728,,
203,Q107097652,,
204,Q107097612,,
205,Q107097693,,
206,Q107098039,,
207,Q107097721,,
208,Q107097543,,
209,Q107097930,,
210,Q107098011,,
211,Q107096317,,
212,Q107113016,,
213,Q107113041,,
214,Q107094103,,
215,Q107076122,,
216,Q107076123,,
217,Q107076121,,
218,Q107076119,,
